diff_id,language,anchor,synonym,antonym,anchor_hits,gold_word_count,bleu_syn,bleu_ant,rougeL_syn,rougeL_ant,bleu_delta,rougeL_delta
125,py,add,insert,remove,1,10,0.7348889200874659,0.7348889200874659,0.8888888888888888,0.8888888888888888,0.0,0.0
219,py,create,build,destroy,1,13,0.8423626743789753,0.8423626743789753,0.9166666666666666,0.9166666666666666,0.0,0.0
286,py,create,build,destroy,1,10,0.7071067811865478,0.7071067811865478,0.8571428571428571,0.8571428571428571,0.0,0.0
633,py,added,inserted,removed,1,12,0.9036020036098446,0.9036020036098446,0.9090909090909091,0.9090909090909091,0.0,0.0
647,py,added,inserted,removed,1,9,0.8633400213704508,0.8633400213704508,0.8571428571428571,0.8571428571428571,0.0,0.0
652,py,add,insert,remove,1,18,0.9391044157537529,0.9391044157537529,0.9411764705882353,0.9411764705882353,0.0,0.0
751,py,start,begin,stop,1,11,0.7016879391277372,0.7016879391277372,0.9,0.9,0.0,0.0
877,py,allow,permit,forbid,1,8,0.8408964152537145,0.8408964152537145,0.875,0.875,0.0,0.0
1133,py,add,insert,remove,1,8,0.8408964152537145,0.8408964152537145,0.8571428571428571,0.8571428571428571,0.0,0.0
1170,py,add,insert,remove,1,17,0.9351334836242394,0.9351334836242394,0.9,0.9,0.0,0.0
1216,py,open,unlock,close,1,12,0.7348889200874659,0.7348889200874659,0.9,0.9,0.0,0.0
1229,py,add,insert,remove,1,9,0.8633400213704508,0.8633400213704508,0.8888888888888888,0.8888888888888888,0.0,0.0
1284,py,allow,permit,forbid,1,6,0.7598356856515927,0.7598356856515927,0.8333333333333334,0.8333333333333334,0.0,0.0
1446,py,add,insert,remove,1,11,0.8931539818068699,0.8931539818068699,0.8888888888888888,0.8888888888888888,0.0,0.0
1898,py,add,insert,remove,1,9,0.8633400213704508,0.8633400213704508,0.8571428571428571,0.8571428571428571,0.0,0.0
2199,py,add,insert,remove,1,8,0.8408964152537145,0.8408964152537145,0.8571428571428571,0.8571428571428571,0.0,0.0
2204,py,removes,deletes,inserts,1,8,0.8408964152537145,0.8408964152537145,0.875,0.875,0.0,0.0
2400,py,allowed,permitted,forbade,1,7,0.8091067115702206,0.8091067115702206,0.8571428571428571,0.8571428571428571,0.0,0.0
2431,py,add,insert,remove,1,6,0.7598356856515927,0.7598356856515927,0.8333333333333334,0.8333333333333334,0.0,0.0
2701,py,remove,delete,insert,2,13,0.6703420896351792,0.6703420896351792,0.8461538461538461,0.8461538461538461,0.0,0.0
2760,py,add,insert,remove,1,10,0.9193227152249183,0.9193227152249183,0.9090909090909091,0.9090909090909091,0.0,0.0
2820,py,allow,permit,forbid,1,10,0.8801117367933934,0.8801117367933934,0.9,0.9,0.0,0.0
2832,py,adds,inserts,removes,1,18,0.9457416090031756,0.9457416090031756,0.9444444444444444,0.9444444444444444,0.0,0.0
2832,py,allow,permit,forbid,1,18,0.8578928092681432,0.8578928092681432,0.9444444444444444,0.9444444444444444,0.0,0.0
2997,py,add,insert,remove,1,8,0.8408964152537145,0.8408964152537145,0.875,0.875,0.0,0.0
3086,py,add,insert,remove,1,10,0.9036020036098446,0.9036020036098446,0.8571428571428571,0.8571428571428571,0.0,0.0
3132,py,add,insert,remove,1,16,0.8394327083733333,0.8394327083733333,0.9090909090909091,0.9090909090909091,0.0,0.0
3206,py,added,inserted,removed,1,11,0.7016879391277372,0.7016879391277372,0.9,0.9,0.0,0.0
3206,py,removed,deleted,inserted,1,11,0.8931539818068699,0.8931539818068699,0.9,0.9,0.0,0.0
3257,py,added,inserted,removed,1,12,0.9036020036098446,0.9036020036098446,0.9090909090909091,0.9090909090909091,0.0,0.0
3422,py,added,inserted,removed,1,12,0.9036020036098446,0.9036020036098446,0.9090909090909091,0.9090909090909091,0.0,0.0
3699,py,adding,inserting,removing,1,13,0.8282477531331043,0.8282477531331043,0.9166666666666666,0.9166666666666666,0.0,0.0
4111,py,add,insert,remove,1,8,0.8801117367933934,0.8801117367933934,0.8571428571428571,0.8571428571428571,0.0,0.0
4193,py,adding,inserting,removing,1,6,0.7598356856515927,0.7598356856515927,0.8000000000000002,0.8000000000000002,0.0,0.0
4378,py,add,insert,remove,1,12,0.9036020036098446,0.9036020036098446,0.8888888888888888,0.8888888888888888,0.0,0.0
4378,py,enable,permit,disable,1,12,0.7348889200874659,0.7348889200874659,0.8888888888888888,0.8888888888888888,0.0,0.0
4605,py,creating,building,destroying,1,9,0.7016879391277372,0.7016879391277372,0.9,0.9,0.0,0.0
4793,py,add,insert,remove,1,10,0.7071067811865478,0.7071067811865478,0.8571428571428571,0.8571428571428571,0.0,0.0
4923,py,added,inserted,removed,1,12,0.9036020036098446,0.9036020036098446,0.9090909090909091,0.9090909090909091,0.0,0.0
4960,py,add,insert,remove,1,8,0.8408964152537145,0.8408964152537145,0.8571428571428571,0.8571428571428571,0.0,0.0
5336,py,add,insert,remove,1,13,0.9253911813809742,0.9253911813809742,0.9090909090909091,0.9090909090909091,0.0,0.0
5338,py,added,inserted,removed,1,10,0.82651681837938,0.82651681837938,0.9,0.9,0.0,0.0
5509,py,open,unlock,close,1,13,0.791066507175436,0.791066507175436,0.8888888888888888,0.8888888888888888,0.0,0.0
5510,py,show,display,hide,2,11,0.5266403878479267,0.5266403878479267,0.8000000000000002,0.8000000000000002,0.0,0.0
5668,py,disabled,blocked,enabled,1,10,0.7348889200874659,0.7348889200874659,0.8888888888888888,0.8888888888888888,0.0,0.0
5913,py,add,insert,remove,1,17,0.8482198619370465,0.8482198619370465,0.9166666666666666,0.9166666666666666,0.0,0.0
6191,py,add,insert,remove,1,9,0.8633400213704508,0.8633400213704508,0.875,0.875,0.0,0.0
6194,py,added,inserted,removed,1,24,0.9554427922043663,0.9554427922043663,0.9473684210526315,0.9473684210526315,0.0,0.0
6194,py,removed,deleted,inserted,1,24,0.8843865924896839,0.8843865924896839,0.9473684210526315,0.9473684210526315,0.0,0.0
6240,py,add,insert,remove,1,15,0.9253911813809742,0.9253911813809742,0.8888888888888888,0.8888888888888888,0.0,0.0
6240,py,remove,delete,insert,1,15,0.8003203203845001,0.8003203203845001,0.8888888888888888,0.8888888888888888,0.0,0.0
6302,py,increase,raise,decrease,1,10,0.8801117367933934,0.8801117367933934,0.9,0.9,0.0,0.0
6533,py,add,insert,remove,1,12,0.9036020036098446,0.9036020036098446,0.9,0.9,0.0,0.0
6533,py,created,built,destroyed,1,12,0.7348889200874659,0.7348889200874659,0.9,0.9,0.0,0.0
6646,py,add,insert,remove,1,11,0.8931539818068699,0.8931539818068699,0.9090909090909091,0.9090909090909091,0.0,0.0
6692,py,added,inserted,removed,1,9,0.8633400213704508,0.8633400213704508,0.8571428571428571,0.8571428571428571,0.0,0.0
6711,py,added,inserted,removed,2,21,0.7242447986095323,0.7242447986095323,0.8571428571428571,0.8571428571428571,0.0,0.0
7349,py,allowing,permitting,forbidding,1,13,0.7611606003349888,0.7611606003349888,0.9166666666666666,0.9166666666666666,0.0,0.0
7573,py,start,begin,stop,1,12,0.9036020036098446,0.9036020036098446,0.9166666666666666,0.9166666666666666,0.0,0.0
7684,py,add,insert,remove,1,16,0.9306048591020994,0.9306048591020994,0.9285714285714286,0.9285714285714286,0.0,0.0
8029,py,add,insert,remove,1,17,0.942615147681512,0.942615147681512,0.9285714285714286,0.9285714285714286,0.0,0.0
8029,py,create,build,destroy,1,17,0.8492326635760686,0.8492326635760686,0.9285714285714286,0.9285714285714286,0.0,0.0
8465,py,added,inserted,removed,1,8,0.8408964152537145,0.8408964152537145,0.875,0.875,0.0,0.0
8745,py,add,insert,remove,1,6,0.7598356856515927,0.7598356856515927,0.8333333333333334,0.8333333333333334,0.0,0.0
8874,py,added,inserted,removed,1,12,0.8153551038173119,0.8153551038173119,0.9285714285714286,0.9285714285714286,0.0,0.0
9073,py,add,insert,remove,1,11,0.8003203203845001,0.8003203203845001,0.9,0.9,0.0,0.0
9181,py,enabling,permitting,disabling,1,14,0.7825422900366438,0.7825422900366438,0.9090909090909091,0.9090909090909091,0.0,0.0
9194,py,allow,permit,forbid,1,13,0.9121679090703875,0.9121679090703875,0.9230769230769231,0.9230769230769231,0.0,0.0
9297,py,add,insert,remove,1,9,0.7016879391277372,0.7016879391277372,0.875,0.875,0.0,0.0
9297,py,remove,delete,insert,1,9,0.7419446627365011,0.7419446627365011,0.875,0.875,0.0,0.0
9401,py,adds,inserts,removes,1,9,0.8931539818068699,0.8931539818068699,0.875,0.875,0.0,0.0
9655,py,add,insert,remove,1,15,0.8282477531331043,0.8282477531331043,0.9,0.9,0.0,0.0
10135,py,add,insert,remove,1,9,0.8931539818068699,0.8931539818068699,0.875,0.875,0.0,0.0
10392,py,add,insert,remove,1,5,0.6687403049764218,0.6687403049764218,0.8000000000000002,0.8000000000000002,0.0,0.0
10450,py,add,insert,remove,1,11,0.9121679090703875,0.9121679090703875,0.875,0.875,0.0,0.0
10490,py,add,insert,remove,1,9,0.8931539818068699,0.8931539818068699,0.9,0.9,0.0,0.0
10737,py,disable,block,enable,1,14,0.7825422900366438,0.7825422900366438,0.9090909090909091,0.9090909090909091,0.0,0.0
10825,py,added,inserted,removed,1,8,0.8801117367933934,0.8801117367933934,0.875,0.875,0.0,0.0
11069,py,added,inserted,removed,1,9,0.8633400213704508,0.8633400213704508,0.8571428571428571,0.8571428571428571,0.0,0.0
11615,py,add,insert,remove,1,16,0.9306048591020994,0.9306048591020994,0.9375,0.9375,0.0,0.0
11781,py,added,inserted,removed,1,25,0.9573479717381593,0.9573479717381593,0.9545454545454546,0.9545454545454546,0.0,0.0
12098,py,add,insert,remove,1,10,0.8801117367933934,0.8801117367933934,0.9,0.9,0.0,0.0
12145,py,added,inserted,removed,1,8,0.8408964152537145,0.8408964152537145,0.875,0.875,0.0,0.0
