diff_id,language,anchor,synonym,antonym,gold_word_count,bleu_syn,bleu_ant,bleu_delta,rougeL_syn,rougeL_ant,rougeL_delta,chrf_syn,chrf_ant,chrf_delta,meteor_syn,meteor_ant,meteor_delta
227,cpp,allow,permit,forbid,8,0.8408964152537145,0.8408964152537145,0.0,0.8333333333333334,0.8333333333333334,0.0,0.830092325789114,0.8351124111362712,-0.005020085347157255,0.9990234375,0.8737244897959183,0.12529894770408168
634,cpp,add,insert,remove,13,0.791066507175436,0.791066507175436,0.0,0.9090909090909091,0.9090909090909091,0.0,0.8754128700746279,0.8754128700746279,0.0,0.920940170940171,0.920940170940171,0.0
932,cpp,add,insert,remove,15,0.9253911813809742,0.9253911813809742,0.0,0.9230769230769231,0.9230769230769231,0.0,0.9419853429751883,0.9419853429751883,0.0,0.9331632653061225,0.9331632653061225,0.0
932,cpp,disable,block,enable,15,0.8003203203845001,0.8003203203845001,0.0,0.9230769230769231,0.9230769230769231,0.0,0.8580685923400118,0.9126955676285838,-0.05462697528857208,0.9319727891156462,0.9319727891156462,0.0
932,cpp,create,build,destroy,15,0.8003203203845001,0.8003203203845001,0.0,0.9230769230769231,0.9230769230769231,0.0,0.863717887474178,0.8659079799461918,-0.0021900924720138493,0.9319727891156462,0.9319727891156462,0.0
1558,cpp,adding,inserting,removing,6,0.7598356856515927,0.7598356856515927,0.0,0.8000000000000002,0.8000000000000002,0.0,0.8971944721340076,0.9023456466744161,-0.005151174540408476,0.8300000000000002,0.8300000000000002,0.0
2427,cpp,added,inserted,removed,13,0.9121679090703875,0.9121679090703875,0.0,0.8888888888888888,0.8888888888888888,0.0,0.9333905793134109,0.9368569873421011,-0.0034664080286902488,0.9228098290598291,0.9228098290598291,0.0
2909,cpp,remove,delete,insert,10,0.7825422900366438,0.7825422900366438,0.0,0.9,0.9,0.0,0.877781690880126,0.8612395760012234,0.01654211487890267,0.8950617283950617,0.8950617283950617,0.0
3149,cpp,added,inserted,removed,13,0.9121679090703875,0.9121679090703875,0.0,0.9166666666666666,0.9166666666666666,0.0,0.9419853429751883,0.9450309496522159,-0.003045606677027579,0.9228098290598291,0.9228098290598291,0.0
4054,cpp,add,insert,remove,7,0.8091067115702206,0.8091067115702206,0.0,0.8571428571428571,0.8571428571428571,0.0,0.887534817914365,0.887534817914365,0.0,0.8551587301587302,0.8551587301587302,0.0
