kind,n_pos,n_neg,score_kind,auc,best_f1_tau,best_f1,best_f1_precision,best_f1_recall,fpr5_tau,fpr5_tpr
noun_close_entity,563,563,entail,0.886547264874483,0.58,0.8164291701592624,0.773015873015873,0.8650088809946714,0.93,0.5559502664298401
noun_close_entity,563,563,signed,0.8771646438610716,0.56,0.812280701754386,0.8024263431542461,0.822380106571936,0.92,0.5364120781527532
noun_diagnostic,253,253,entail,0.8249308690965333,0.93,0.7611336032388665,0.7800829875518672,0.7430830039525692,0.99,0.22924901185770752
noun_diagnostic,253,253,signed,0.8099798465840741,0.88,0.7556390977443609,0.7204301075268817,0.7944664031620553,0.98,0.39920948616600793
noun_directional,68,68,entail,0.9701557093425606,0.05,0.9305555555555556,0.881578947368421,0.9852941176470589,0.42,0.8823529411764706
noun_directional,68,68,signed,0.9682093425605537,-0.68,0.9285714285714286,0.9027777777777778,0.9558823529411765,0.02,0.8529411764705882
noun_infrastructure,393,393,entail,0.891187382242682,0.62,0.8322824716267339,0.825,0.8396946564885496,0.92,0.6361323155216285
noun_infrastructure,393,393,signed,0.8790539271863204,0.64,0.831578947368421,0.8610354223433242,0.8040712468193384,0.9,0.648854961832061
verb,1630,1630,entail,0.9989337197485791,0.11,0.9871716554673183,0.9829683698296837,0.9914110429447853,0.01,0.9987730061349693
verb,1630,1630,signed,0.9987549399676314,-0.4,0.9858895705521472,0.9858895705521472,0.9858895705521472,-0.94,0.9975460122699387
