language,n_pos,n_neg,score_kind,auc,tau_used,f1_at_tau,precision_at_tau,recall_at_tau
cpp,267,267,entail,0.9712999200437655,0.61,0.9194139194139195,0.899641577060932,0.9400749063670412
cpp,267,267,signed,0.9685224929512267,0.56,0.9087523277467412,0.9037037037037037,0.9138576779026217
cs,338,338,entail,0.9712457547004657,0.61,0.9093610698365528,0.9134328358208955,0.9053254437869822
cs,338,338,signed,0.9663001995728441,0.56,0.906060606060606,0.9285714285714286,0.8846153846153846
go,399,399,entail,0.9475003297717979,0.61,0.8768115942028986,0.8461538461538461,0.9097744360902256
go,399,399,signed,0.9427830227197065,0.56,0.8737623762376238,0.863080684596577,0.8847117794486216
java,352,352,entail,0.9625274405991735,0.61,0.9021276595744682,0.9008498583569405,0.9034090909090909
java,352,352,signed,0.9572733729338843,0.56,0.889855072463768,0.908284023668639,0.8721590909090909
js,398,398,entail,0.957772530996692,0.61,0.8968824940047961,0.8577981651376146,0.9396984924623115
js,398,398,signed,0.9529809853286533,0.56,0.8856447688564478,0.8584905660377359,0.914572864321608
php,379,379,entail,0.9637777514776422,0.61,0.8993464052287582,0.8911917098445595,0.9076517150395779
php,379,379,signed,0.9600044555523841,0.56,0.8912466843501325,0.896,0.8865435356200527
py,385,385,entail,0.9693101703491314,0.61,0.8930817610062892,0.8658536585365854,0.922077922077922
py,385,385,signed,0.9648372406813965,0.56,0.8931788931788931,0.8852040816326531,0.9012987012987013
rust,389,389,entail,0.9601112866026527,0.61,0.8899876390605687,0.8571428571428571,0.9254498714652957
rust,389,389,signed,0.9548641629383893,0.56,0.8866498740554156,0.8691358024691358,0.9048843187660668
