backbone,threshold,condition,n,pass_n,pass_pct
BART-MNLI,-0.50,diff->gold,1600,1421,88.8
BART-MNLI,-0.50,diff->gen:codellama-7b,1600,1581,98.8
BART-MNLI,-0.50,diff->gen:qwen2.5-coder-7b,1600,1561,97.6
BART-MNLI,-0.50,diff->gen:deepseek-6.7b,1600,1568,98.0
BART-MNLI,0.00,diff->gold,1600,1035,64.7
BART-MNLI,0.00,diff->gen:codellama-7b,1600,1434,89.6
BART-MNLI,0.00,diff->gen:qwen2.5-coder-7b,1600,1459,91.2
BART-MNLI,0.00,diff->gen:deepseek-6.7b,1600,1408,88.0
BART-MNLI,0.25,diff->gold,1600,512,32.0
BART-MNLI,0.25,diff->gen:codellama-7b,1600,920,57.5
BART-MNLI,0.25,diff->gen:qwen2.5-coder-7b,1600,975,60.9
BART-MNLI,0.25,diff->gen:deepseek-6.7b,1600,875,54.7
BART-MNLI,0.56,diff->gold,1600,301,18.8
BART-MNLI,0.56,diff->gen:codellama-7b,1600,595,37.2
BART-MNLI,0.56,diff->gen:qwen2.5-coder-7b,1600,612,38.2
BART-MNLI,0.56,diff->gen:deepseek-6.7b,1600,539,33.7
BART-MNLI,0.75,diff->gold,1600,187,11.7
BART-MNLI,0.75,diff->gen:codellama-7b,1600,419,26.2
BART-MNLI,0.75,diff->gen:qwen2.5-coder-7b,1600,411,25.7
BART-MNLI,0.75,diff->gen:deepseek-6.7b,1600,342,21.4
BART-MNLI,0.90,diff->gold,1600,96,6.0
BART-MNLI,0.90,diff->gen:codellama-7b,1600,245,15.3
BART-MNLI,0.90,diff->gen:qwen2.5-coder-7b,1600,198,12.4
BART-MNLI,0.90,diff->gen:deepseek-6.7b,1600,178,11.1
DeBERTa-v3,-0.50,diff->gold,1600,1510,94.4
DeBERTa-v3,-0.50,diff->gen:codellama-7b,1600,1568,98.0
DeBERTa-v3,-0.50,diff->gen:qwen2.5-coder-7b,1600,1571,98.2
DeBERTa-v3,-0.50,diff->gen:deepseek-6.7b,1600,1565,97.8
DeBERTa-v3,0.00,diff->gold,1600,1262,78.9
DeBERTa-v3,0.00,diff->gen:codellama-7b,1600,1416,88.5
DeBERTa-v3,0.00,diff->gen:qwen2.5-coder-7b,1600,1472,92.0
DeBERTa-v3,0.00,diff->gen:deepseek-6.7b,1600,1422,88.9
DeBERTa-v3,0.25,diff->gold,1600,554,34.6
DeBERTa-v3,0.25,diff->gen:codellama-7b,1600,843,52.7
DeBERTa-v3,0.25,diff->gen:qwen2.5-coder-7b,1600,1012,63.2
DeBERTa-v3,0.25,diff->gen:deepseek-6.7b,1600,872,54.5
DeBERTa-v3,0.56,diff->gold,1600,417,26.1
DeBERTa-v3,0.56,diff->gen:codellama-7b,1600,723,45.2
DeBERTa-v3,0.56,diff->gen:qwen2.5-coder-7b,1600,887,55.4
DeBERTa-v3,0.56,diff->gen:deepseek-6.7b,1600,708,44.2
DeBERTa-v3,0.75,diff->gold,1600,354,22.1
DeBERTa-v3,0.75,diff->gen:codellama-7b,1600,655,40.9
DeBERTa-v3,0.75,diff->gen:qwen2.5-coder-7b,1600,812,50.8
DeBERTa-v3,0.75,diff->gen:deepseek-6.7b,1600,622,38.9
DeBERTa-v3,0.90,diff->gold,1600,295,18.4
DeBERTa-v3,0.90,diff->gen:codellama-7b,1600,542,33.9
DeBERTa-v3,0.90,diff->gen:qwen2.5-coder-7b,1600,728,45.5
DeBERTa-v3,0.90,diff->gen:deepseek-6.7b,1600,483,30.2
