subset,backbone,condition,n,pass_n,pass_pct
all,BART-MNLI,diff->gold,1600,301,18.8
all,DeBERTa-v3,diff->gold,1600,417,26.1
all,BART-MNLI,diff->gen:codellama-7b,1600,595,37.2
all,DeBERTa-v3,diff->gen:codellama-7b,1600,723,45.2
all,BART-MNLI,diff->gen:qwen2.5-coder-7b,1600,612,38.2
all,DeBERTa-v3,diff->gen:qwen2.5-coder-7b,1600,887,55.4
all,BART-MNLI,diff->gen:deepseek-6.7b,1600,539,33.7
all,DeBERTa-v3,diff->gen:deepseek-6.7b,1600,708,44.2
full_diff_chars<=1500,BART-MNLI,diff->gold,1022,197,19.3
full_diff_chars<=1500,DeBERTa-v3,diff->gold,1022,289,28.3
full_diff_chars<=1500,BART-MNLI,diff->gen:codellama-7b,1022,430,42.1
full_diff_chars<=1500,DeBERTa-v3,diff->gen:codellama-7b,1022,540,52.8
full_diff_chars<=1500,BART-MNLI,diff->gen:qwen2.5-coder-7b,1022,411,40.2
full_diff_chars<=1500,DeBERTa-v3,diff->gen:qwen2.5-coder-7b,1022,644,63.0
full_diff_chars<=1500,BART-MNLI,diff->gen:deepseek-6.7b,1022,397,38.8
full_diff_chars<=1500,DeBERTa-v3,diff->gen:deepseek-6.7b,1022,520,50.9
full_diff_chars>1500,BART-MNLI,diff->gold,578,104,18.0
full_diff_chars>1500,DeBERTa-v3,diff->gold,578,128,22.1
full_diff_chars>1500,BART-MNLI,diff->gen:codellama-7b,578,165,28.5
full_diff_chars>1500,DeBERTa-v3,diff->gen:codellama-7b,578,183,31.7
full_diff_chars>1500,BART-MNLI,diff->gen:qwen2.5-coder-7b,578,201,34.8
full_diff_chars>1500,DeBERTa-v3,diff->gen:qwen2.5-coder-7b,578,243,42.0
full_diff_chars>1500,BART-MNLI,diff->gen:deepseek-6.7b,578,142,24.6
full_diff_chars>1500,DeBERTa-v3,diff->gen:deepseek-6.7b,578,188,32.5
